Item,Value
Optimal CV Accuracy,0.7542016806722689
Optimal Parameters,"{'pca__n_components': 266, 'svm__C': 1}"
Test Accuracy,0.7413793103448276
Test Sensitivity,0.6206896551724138
Test Specificity,0.8620689655172413
Area Under Curve,0.78359096313912
