Item,Value
Optimal CV Accuracy,0.780672268907563
Optimal Parameters,"{'lr__multi_class': 'ovr', 'lr__solver': 'sag', 'pca__n_components': 266}"
Test Accuracy,0.7758620689655172
Test Sensitivity,0.6551724137931034
Test Specificity,0.896551724137931
Area Under Curve,0.8287752675386444
