,Feature Name,t_value,p_value
0,GMV_1,1.9436304681280583,0.05276097132539909
1,GMV_2,1.7197034099561543,0.08637639336590744
2,GMV_3,1.16512766291071,0.24480584051599105
3,GMV_4,0.5839294943275658,0.5596457639995267
4,GMV_5,1.5159580017999552,0.13043522247869538
5,GMV_6,1.026896136958937,0.30521953233786026
6,GMV_7,1.160273253473428,0.2467799075733979
7,GMV_8,1.6164911176735033,0.10698591565642054
8,GMV_9,1.4400423029090224,0.15079208166214011
9,GMV_10,1.6340284452892593,0.10318242808020202
10,GMV_11,2.8125438024531526,0.005202309213748096
11,GMV_12,2.1918460632064374,0.0290896265162469
12,GMV_13,1.6313376010689056,0.10374463126362246
13,GMV_14,2.3136820378949525,0.021291779083205585
14,GMV_15,1.1543648113131177,0.2491835313945842
15,GMV_16,1.9423693369946378,0.05294279518492462
16,GMV_17,2.4407969805602963,0.01513498287185916
17,GMV_18,1.8869540967212388,0.059966745493584744
18,GMV_19,1.8203458481895742,0.06961450040329724
19,GMV_20,1.0875686527729722,0.27759664109113286
20,GMV_21,1.874778689474451,0.061671750155281375
21,GMV_22,1.2421331763230126,0.215050492255245
22,GMV_23,2.022276978171086,0.04397561708170005
23,GMV_24,1.2551732904020447,0.21033409042060244
24,GMV_25,3.6345106507467664,0.0003222998570355056
25,GMV_26,3.074196774861974,0.0022892167460011174
26,GMV_27,1.3343004411974988,0.1829882442770199
27,GMV_28,1.2886377142416752,0.19839549868817874
28,GMV_29,3.4538880471218136,0.0006230610799129313
29,GMV_30,3.010136001298814,0.0028081223824589687
30,GMV_31,3.6945748444760884,0.0002560913002988931
31,GMV_32,3.141706941298893,0.001823310632338686
32,GMV_33,3.2575866510295195,0.0012372081602506021
33,GMV_34,3.5625416919790207,0.0004218873164335147
34,GMV_35,2.5743893686888173,0.0104645485775704
35,GMV_36,1.7188318685572124,0.08655453809470676
36,GMV_37,3.458153790078532,0.0006141544963813937
37,GMV_38,3.186260556285446,0.0015814674932962632
38,GMV_39,1.2039372828939723,0.22944593693819157
39,GMV_40,1.6024635923180568,0.10996354156859678
40,GMV_41,2.699809631698769,0.007295582085051868
41,GMV_42,2.3851348652619166,0.017631658127607166
42,GMV_43,3.408578469851047,0.0007313056194548064
43,GMV_44,4.143756894165228,4.342201170980136e-05
44,GMV_45,2.1608089107934805,0.03143029848299579
45,GMV_46,2.20780253598984,0.027977459156531024
46,GMV_47,2.9197028081512397,0.003734515265137536
47,GMV_48,3.1662515659144566,0.0016841251574058165
48,GMV_49,2.183782919427179,0.029658889356981324
49,GMV_50,1.3980383322308525,0.16307289611771353
50,GMV_51,3.22091338268928,0.0014013741202984153
